,AWAY_TEAM_ABBREVIATION,GAME_ID,AWAY_STL,AWAY_BLK,AWAY_PF,AWAY_PLUS_MINUS,HOME_TEAM_ABBREVIATION,HOME_STL,HOME_BLK,HOME_PF,HOME_PLUS_MINUS,HOME_OFF_RATING,HOME_DEF_RATING,HOME_AST_TOV,HOME_AST_RATIO,HOME_OREB_PCT,HOME_DREB_PCT,HOME_REB_PCT,HOME_TM_TOV_PCT,HOME_TS_PCT,HOME_PACE,HOME_PIE,AWAY_OFF_RATING,AWAY_DEF_RATING,AWAY_AST_TOV,AWAY_AST_RATIO,AWAY_OREB_PCT,AWAY_DREB_PCT,AWAY_REB_PCT,AWAY_TM_TOV_PCT,AWAY_TS_PCT,AWAY_E_PACE,AWAY_PACE,AWAY_PIE,HomeWin
60,BOS,21600061,10,4,24,7,CHI,7,7,19,-7,109.2,103.1,2.33,20.8,0.245,0.633,0.439,12.2,0.566,97.5,0.534,103.1,109.2,1.11,15.6,0.367,0.755,0.561,19.6,0.528,97.56,97.5,0.466,0
61,DAL,21600062,4,4,20,-16,UTA,6,3,21,16,92.0,110.2,1.38,16.0,0.182,0.729,0.467,14.8,0.498,88.0,0.444,110.2,92.0,1.5,15.2,0.271,0.818,0.533,13.6,0.548,90.92,88.0,0.556,1
62,PHX,21600063,10,5,20,3,POR,8,8,23,-3,105.4,101.8,1.25,10.5,0.27,0.77,0.516,10.7,0.508,101.89,0.501,101.8,105.4,1.67,16.6,0.23,0.73,0.484,13.3,0.522,103.9,101.89,0.499,0
63,OKC,21600064,8,4,24,2,LAC,13,5,19,-2,82.2,84.2,1.16,16.2,0.259,0.692,0.464,18.8,0.437,101.0,0.521,84.2,82.2,0.64,10.9,0.308,0.741,0.536,21.8,0.458,105.36,101.0,0.479,0
64,ORL,21600065,5,4,14,8,SAC,8,1,23,-8,113.3,104.4,1.71,18.2,0.392,,,15.6,0.542,90.0,0.568,104.4,113.3,1.21,14.3,,0.608,,15.6,0.537,92.8,90.0,0.432,0
65,IND,21600066,14,4,23,-18,MIL,10,6,23,18,103.9,121.4,1.38,20.3,0.311,,,20.4,0.576,103.0,0.415,121.4,103.9,1.52,22.0,,0.689,,20.4,0.675,102.72,103.0,0.585,1
66,MIN,21600067,8,4,22,-3,DEN,10,2,24,3,101.0,100.0,1.09,17.4,0.333,0.714,0.545,21.8,0.554,100.0,0.545,100.0,101.0,1.25,14.8,0.286,0.667,0.455,16.2,0.5,104.0,100.0,0.455,1
67,CLE,21600068,6,6,19,6,BOS,4,6,28,-6,122.0,126.7,3.13,18.0,0.264,0.773,0.495,8.0,0.577,100.5,0.443,126.7,122.0,3.0,18.1,0.227,0.736,0.505,7.9,0.638,102.48,100.5,0.557,0
68,GSW,21600069,9,14,18,26,OKC,8,6,20,-26,124.5,97.0,1.69,19.2,0.348,0.655,0.519,16.3,0.624,98.5,0.666,97.0,124.5,1.25,14.8,0.345,0.652,0.481,16.2,0.483,100.56,98.5,0.334,0
69,WAS,21600070,7,3,23,3,ATL,12,3,24,-3,88.5,90.5,1.22,15.8,0.286,0.769,0.519,17.3,0.465,104.5,0.518,90.5,88.5,0.68,10.2,0.231,0.714,0.481,18.1,0.498,105.12,104.5,0.482,0
70,TOR,21600071,7,5,16,9,MIA,10,5,22,-9,92.6,102.1,1.46,15.0,0.268,0.667,0.452,13.8,0.46,94.0,0.429,102.1,92.6,0.88,11.5,0.333,0.732,0.548,17.0,0.522,95.26,94.0,0.571,0
71,BKN,21600072,12,4,22,-4,CHA,7,3,18,4,93.1,98.0,1.25,15.1,,0.774,,15.7,0.494,101.5,0.471,98.0,93.1,1.5,17.6,0.226,,,15.8,0.513,105.4,101.5,0.529,1
72,NYK,21600073,7,2,23,13,CHI,4,4,16,-13,115.6,127.2,1.15,12.1,0.375,0.652,0.511,14.4,0.542,91.0,0.405,127.2,115.6,6.4,23.7,0.348,0.625,0.489,5.4,0.595,93.06,91.0,0.595,0
73,MEM,21600074,4,9,28,-11,LAC,17,6,23,11,102.1,91.7,1.58,14.6,0.315,,,12.4,0.497,96.5,0.592,91.7,102.1,1.37,18.7,,0.685,,19.8,0.47,100.1,96.5,0.408,1
74,NOP,21600075,7,13,21,-1,PHX,7,2,27,1,104.7,103.7,3.11,19.5,0.183,0.709,0.435,8.5,0.522,96.91,0.52,103.7,104.7,1.13,12.9,0.291,0.817,0.565,14.8,0.532,99.01,96.91,0.48,1
75,DAL,21600076,5,3,21,-10,POR,9,3,20,10,96.9,109.4,1.38,14.7,0.22,0.809,0.505,13.3,0.517,97.0,0.446,109.4,96.9,1.5,16.6,0.191,0.78,0.495,14.6,0.574,98.12,97.0,0.554,1
76,UTA,21600077,7,4,19,-14,SAS,9,8,25,14,107.5,92.5,1.55,14.1,0.277,0.764,0.539,11.8,0.539,93.0,0.611,92.5,107.5,1.25,12.8,0.236,0.723,0.461,12.9,0.475,94.12,93.0,0.389,1
77,LAL,21600078,9,5,19,20,GSW,13,3,13,-20,94.2,113.6,1.3,18.5,0.26,0.66,0.46,19.4,0.512,103.0,0.441,113.6,94.2,1.63,17.8,0.34,0.74,0.54,15.5,0.561,105.02,103.0,0.559,0
78,MIN,21600079,7,8,19,-20,OKC,9,9,21,20,95.8,116.7,0.71,9.5,0.385,0.698,0.526,17.7,0.475,96.0,0.344,116.7,95.8,2.0,18.1,0.302,0.615,0.474,12.5,0.58,97.16,96.0,0.656,1
79,PHI,21600080,9,9,23,-1,CLE,10,5,15,1,100.0,99.0,1.44,16.7,0.218,0.796,0.49,15.7,0.516,102.0,0.517,99.0,100.0,1.24,16.1,0.204,0.782,0.51,16.7,0.547,104.1,102.0,0.483,1
80,WAS,21600081,4,5,23,-2,ORL,4,6,16,2,101.1,98.9,2.33,17.5,,0.648,,10.3,0.49,87.0,0.569,98.9,101.1,1.0,9.5,0.352,,,12.6,0.46,89.68,87.0,0.431,1
81,DET,21600082,9,9,16,17,DEN,8,2,15,-17,88.7,106.2,0.94,11.2,0.359,0.745,0.523,16.5,0.418,97.0,0.344,106.2,88.7,1.57,17.0,0.255,0.641,0.477,14.4,0.55,100.74,97.0,0.656,0
82,CHI,21600083,8,5,13,-17,IND,8,9,20,17,104.4,123.3,0.94,13.6,0.362,0.674,0.511,20.0,0.522,90.0,0.412,123.3,104.4,2.25,20.7,0.326,0.638,0.489,13.3,0.608,95.14,90.0,0.588,1
83,ATL,21600084,17,6,13,15,HOU,9,7,26,-15,106.7,93.3,1.45,20.1,0.304,,,19.0,0.586,104.5,0.635,93.3,106.7,0.85,15.9,,0.696,,25.0,0.535,103.64,104.5,0.365,0
84,MIL,21600085,12,10,22,26,SAC,8,3,19,-26,127.2,96.8,1.65,20.3,0.419,0.704,0.577,18.5,0.629,93.0,0.643,96.8,127.2,1.8,20.1,0.296,0.581,0.423,16.0,0.493,93.68,93.0,0.357,0
85,LAC,21600086,8,6,19,24,SAS,5,5,18,-24,122.1,95.8,2.67,18.4,0.205,0.822,0.517,9.5,0.597,95.5,0.606,95.8,122.1,1.27,16.0,0.178,0.795,0.483,15.6,0.541,96.08,95.5,0.394,0
86,NYK,21600087,8,5,26,-5,UTA,6,4,19,5,118.5,122.6,1.38,14.7,0.31,0.732,0.518,14.1,0.597,92.5,0.469,122.6,118.5,1.91,17.2,0.268,0.69,0.482,11.8,0.631,94.38,92.5,0.531,1
87,POR,21600088,7,5,25,6,MEM,9,5,20,-6,101.1,105.3,1.15,12.2,0.314,0.81,0.538,14.0,0.494,94.0,0.468,105.3,101.1,1.27,16.3,0.19,0.686,0.462,15.8,0.603,94.48,94.0,0.532,0
88,SAC,21600089,4,5,22,5,TOR,6,5,26,-5,107.9,102.2,1.91,17.0,0.333,0.714,0.538,12.4,0.524,89.0,0.549,102.2,107.9,3.67,17.5,0.286,0.667,0.462,6.7,0.466,90.14,89.0,0.451,0
89,MIL,21600090,11,2,26,-11,DAL,12,2,20,11,86.0,74.3,0.88,11.4,,,,16.0,0.461,91.02,0.611,74.3,86.0,0.52,10.9,,,,26.7,0.43,92.63,91.02,0.389,1
90,DEN,21600091,7,6,23,16,BOS,3,4,24,-16,104.9,120.6,2.58,21.8,0.231,0.667,0.433,11.8,0.539,102.0,0.446,120.6,104.9,1.17,15.4,0.333,0.769,0.567,17.6,0.63,103.44,102.0,0.554,0
91,LAL,21600092,8,5,22,11,PHX,8,2,30,-11,110.2,101.9,1.16,15.0,0.412,0.745,0.585,17.6,0.565,107.0,0.598,101.9,110.2,1.11,14.2,0.255,0.588,0.415,17.0,0.523,109.86,107.0,0.402,0
92,PHI,21600093,5,2,19,-25,UTA,10,11,22,25,88.4,116.0,0.89,13.3,0.265,0.761,0.505,18.9,0.485,94.5,0.343,116.0,88.4,2.0,16.2,0.239,0.735,0.495,10.6,0.581,94.74,94.5,0.657,1
93,WAS,21600094,12,5,16,-8,HOU,6,7,18,8,116.3,108.2,1.56,21.1,0.179,0.571,0.411,18.4,0.656,98.0,0.551,108.2,116.3,1.25,14.4,0.429,0.821,0.589,16.3,0.516,100.86,98.0,0.449,1
94,CHA,21600095,12,4,15,22,IND,8,4,25,-22,117.3,96.2,2.5,21.4,0.109,,,11.5,0.622,104.0,0.631,96.2,117.3,1.28,16.2,,0.891,,17.3,0.497,106.84,104.0,0.369,0
95,CHI,21600096,7,4,11,32,ORL,6,6,23,-32,116.7,83.3,2.89,18.9,0.346,0.827,0.587,9.4,0.546,96.0,0.664,83.3,116.7,1.87,21.4,0.173,0.654,0.413,15.6,0.456,96.64,96.0,0.336,0
96,MIA,21600097,8,7,16,-12,OKC,8,5,18,12,91.4,105.4,1.0,10.2,0.296,0.627,0.457,12.9,0.454,92.5,0.408,105.4,91.4,1.33,17.8,0.373,0.704,0.543,19.6,0.524,97.08,92.5,0.592,1
97,LAC,21600098,8,7,20,32,DET,5,2,19,-32,85.4,120.0,1.27,11.8,,0.914,,11.5,0.439,95.5,0.261,120.0,85.4,2.33,22.3,0.086,,,12.6,0.665,94.56,95.5,0.739,0
98,GSW,21600099,14,4,17,10,NOP,8,1,16,-10,113.7,106.0,2.33,24.1,0.277,,,14.7,0.609,101.0,0.56,106.0,113.7,1.3,18.9,,0.723,,20.0,0.577,100.58,101.0,0.44,0
99,CLE,21600100,12,1,20,-4,ATL,1,4,21,4,113.4,109.3,1.16,16.6,0.349,0.667,0.538,19.6,0.601,97.0,0.536,109.3,113.4,3.5,15.3,0.333,0.651,0.462,6.2,0.482,101.28,97.0,0.464,1
100,MIN,21600101,11,3,21,-9,BKN,5,5,19,9,113.3,105.8,0.95,15.6,0.194,,,20.0,0.68,104.5,0.588,105.8,113.3,1.18,14.2,,0.806,,16.3,0.527,104.88,104.5,0.412,1
101,DEN,21600102,6,4,23,-1,MEM,14,5,30,1,112.6,113.7,1.09,18.3,,0.739,,23.2,0.63,95.0,0.496,113.7,112.6,2.07,21.1,0.261,,,14.7,0.572,100.66,95.0,0.504,1
102,POR,21600103,5,4,27,3,PHX,10,2,27,-3,118.6,120.4,1.13,13.4,,0.714,,15.7,0.602,102.5,0.497,120.4,118.6,1.1,16.3,0.286,,,19.4,0.664,103.92,102.5,0.503,0
103,DAL,21600104,11,4,12,12,LAL,6,1,19,-12,118.5,106.6,2.18,19.4,,0.738,,12.0,0.615,91.5,0.597,106.6,118.5,1.18,16.5,0.262,,,18.7,0.576,92.38,91.5,0.403,0
104,NOP,21600105,5,9,23,-8,SAC,7,5,21,8,103.3,110.9,2.09,18.3,0.271,0.818,0.533,12.1,0.511,91.5,0.451,110.9,103.3,2.4,19.4,0.182,0.729,0.467,10.9,0.568,95.36,91.5,0.549,1
105,BKN,21600106,9,4,20,-14,NYK,11,5,21,14,95.0,107.8,1.06,14.9,,0.694,,17.8,0.528,101.5,0.399,107.8,95.0,1.79,18.1,0.306,,,13.7,0.553,103.18,101.5,0.601,1
106,BOS,21600107,5,4,19,-25,WAS,9,7,26,25,101.1,131.1,1.91,17.1,0.229,0.563,0.396,12.0,0.513,91.0,0.354,131.1,101.1,2.42,20.5,0.438,0.771,0.604,13.3,0.585,94.24,91.0,0.646,1
107,UTA,21600108,5,6,22,-6,CHA,8,3,19,6,109.5,105.4,2.67,18.8,0.245,0.756,0.489,9.5,0.549,94.0,0.511,105.4,109.5,1.71,18.8,0.244,0.755,0.511,15.1,0.545,96.34,94.0,0.489,1
